정비구역명칭,위도,경도,속성,지번주소
무악연립제2주택재건축정비사업조합,,,재건축,서울특별시 종로구 무악동 71-1
신영제1구역 주택재개발정비사업,37.5999918685,126.9625023488,재개발(주택정비형),서울특별시 종로구 신영동 158-2
도시정비형 재개발사업,,,재개발(주택정비형),서울특별시 종로구 교남동 28-0
돈의문1구역도시환경정비사업조합,,,재개발(도시정비형),서울특별시 종로구 교남동 62-1
내자.필운구역 도시환경정비사업,37.5752404879,126.9714045054,재개발(도시정비형),서울특별시 종로구 내자동 81
사직2구역 도시환경정비사업구역,37.5738078145,126.9662776078,재개발(도시정비형),서울특별시 종로구 사직동 311-10
종로6가 도시환경정비구역,37.5715071358,127.0084082086,재개발(도시정비형),서울특별시 종로구 종로6가 82-1
창신4도시환경정비구역,,,재개발(도시정비형),서울특별시 종로구 창신동 329
돈의문 2구역 도시환경정비구역,37.5679695441,126.9650338797,재개발(도시정비형),서울특별시 종로구 교남동 28
신문로 2-12구역 공공재개발 정비사업,,,재개발(도시정비형),서울특별시 종로구 신문로1가 158-0
숭인동61번지일대 가로주택정비사업,37.5765698023,127.0156961438,가로주택정비,서울특별시 종로구 숭인동 61-103
만리제2주택재개발정비구역,37.5547496354,126.9646150953,재개발(주택정비형),서울특별시 중구 만리동2가 176-1
신당제8구역주택재개발 정비사업,,,재개발(주택정비형),서울특별시 중구 신당4동 321 
신당제9 주택재개발정비구역,,,재개발(주택정비형),서울특별시 중구 신당2동 432-1008
만리제1주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 중구 만리2가 10
신당제11구역주택재개발정비사업조합,,,재개발(주택정비형),서울특별시 중구 신당5동 85 
,37.5604640178,126.9678152923,재개발(주택정비형),서울특별시 중구 중림동   398
,37.5643685726,127.0122335746,재개발(주택정비형),서울특별시 중구 신당동 236-100
,37.5589845284,126.9629348790,재개발(주택정비형),서울특별시 중구 중림동 398-1
마포로 5-10구역 도시환경정비사업,37.5591329650,126.9648408517,재개발(도시정비형),서울특별시 중구 중림동 186-1
한강맨션아파트주택재건축정비사업조합설립추진위원회,,,재건축,서울특별시 용산구 이촌로 248
산호아파트 주택재건축정비사업조합,37.5327972054,126.9509239829,재건축,서울특별시 용산구 원효로4가 118-16
한강삼익아파트 주택재건축정비사업,37.5190291185,126.9761337285,재건축,서울특별시 용산구 이촌동 300-301
한양철우아파트 주택재건축정비사업조합,37.5235719512,126.9687017666,재건축,서울특별시 용산구 한강로3가 65-500
한남연립729번지주택재건축정비사업조합,,,재건축,서울특별시 용산구 한남동 729
왕궁아파트주택재건축정비사업조합,,,재건축,서울특별시 용산구 이촌1동 300-11
후암동제1구역주택재건축정비사업조합설립추진위원회,,,재건축,서울특별시 용산구 두텁바위로 1나길 22
청화아파트 주택재건축 정비사업,37.5304593381,126.9963988940,재건축,서울특별시 용산구 이태원동 22-2
이촌동제1구역 주택재건축정비사업,,,재건축,서울특별시 용산구 이촌동 199 203 206
신동아아파트,37.5190390043,126.9896400560,재건축,서울특별시 용산구 서빙고동 241-21
강변강서아파트 주택재건축정비사업조합,37.5234915997,126.9590405803,재건축,서울특별시 용산구 이촌동 193-3
중산아파트 주택재건축정비사업,37.5297587184,126.9532675190,재건축,서울특별시 용산구 이촌동 211-2
청파제1구역주택재개발정비사업조합설립추진위원회,37.5468332754,126.9687348183,재개발(주택정비형),서울특별시 용산구 청파동2가 11-1
효창5구역 주택재개발정비사업 조합,,,재개발(주택정비형),서울특별시 용산구 효창동 13-2외258
효창제6구역,37.5477466080,126.9622283175,재개발(주택정비형),서울특별시 용산구 효창동 3-250
효창제4구역주택재개발정비사업,,,재개발(주택정비형),서울특별시 용산구 효창동 117-1
한남 제2재정비촉진구역,37.5313023346,126.9971117289,재개발(주택정비형),서울특별시 용산구 보광동 272-3
한남 제3재정비촉진구역,,,재개발(주택정비형),서울특별시 용산구 한남동 686-0
한남 제5재정비촉진구역,,,재개발(주택정비형),서울특별시 용산구 동빙고동 60-0
한남4재정비촉진구역주택재개발정비사업조합설립추진위원회,,,재개발(주택정비형),서울특별시 용산구 보광동 360-0
용산역전면 제3구역,,,재개발(도시정비형),서울특별시 용산구 한강로2가 342
용산역전면 제2구역 도시환경정비사업조합,,,재개발(도시정비형),서울특별시 용산구 한강로2가 391
국제빌딩주변 제4구역 도시환경정비사업조합,37.5269056148,126.9665661722,재개발(도시정비형),서울특별시 용산구 한강로3가   63-70
동자동제도시환경정비4구역,,,재개발(도시정비형),서울특별시 용산구 동자동 36-17
국제빌딩주변 제5구역 도시정비형 재개발사업,37.5261988543,126.9658852239,재개발(도시정비형),서울특별시 용산구 한강로2가 210-1
한강로도시환경정비사업,37.5342167200,126.9741864803,재개발(도시정비형),서울특별시 용산구 한강로1가 158
,37.5054588410,127.1302156387,지역주택,서울특별시 송파구 오금동 36-1
신용산역북측 제1구역 도시환경저비사업,37.5331139325,126.9701412146,재개발(도시정비형),서울특별시 용산구 한강로2가 2-116
신용산역북측 제2도시환경정비사업,37.5310280596,126.9678713976,재개발(도시정비형),서울특별시 용산구 한강로2가 2-194
정비창전면 제3구역 도시정비형 재개발사업,37.5237415501,126.9620441503,재개발(도시정비형),서울특별시 용산구 한강로3가 40-19
정비창전면 제1구역 도시환경정비사업,37.5254560783,126.9629293004,재개발(도시정비형),서울특별시 용산구 한강로3가 40-641
,37.5282491342,126.9642274684,재개발(도시정비형),서울특별시 용산구 한강로3가 40-712
,37.5502991075,126.9685861423,가로주택정비,서울특별시 용산구 서계동 116
한남하이츠아파트 재건축 추진위원회,37.5402350277,127.0117396894,재건축,서울특별시 성동구 옥수동 220-1
응봉1주택재건축정비사업,37.5490882418,127.0314658574,재건축,서울특별시 성동구 응봉동 193-162
성수1구역 주택재건축 정비사업구역,,,재건축,서울특별시 성동구 성수동 656-1267
성수동 장미아파트 주택재건축 정비사업,,,재건축,서울특별시 성동구 성수1가동 656-421
,37.5440494590,127.0489253365,재건축,서울특별시 성동구 성수동1가   22-13
장미아파트주택재건축정비사업,37.5422582467,127.0459470763,재건축,서울특별시 성동구 성수동1가 656-421
