이름,위도,경도,좌표정보(X),좌표정보(Y),속성
덕의초등학교운동장,37.506019,126.856732,,,지진옥외대피소
고척근린공원(축구장),37.505988,126.851759,,,지진옥외대피소
경인고등학교운동장,37.496309,126.86591,,,지진옥외대피소
고척고등학교운동장,37.509055,126.852176,,,지진옥외대피소
삼정중학교운동장,37.581225,126.810746,,,지진옥외대피소
서울정곡초등학교 운동장,37.576434,126.81896,,,지진옥외대피소
치현초등학교운동장,37.575617,126.814572,,,지진옥외대피소
삼정초등학교운동장,37.57996,126.810246,,,지진옥외대피소
별장길어린이공원,37.448171,126.908567,,,지진옥외대피소
산장어린이공원,37.46092,126.912486,,,지진옥외대피소
금빛공원,37.453111,126.904121,,,지진옥외대피소
영원중학교 운동장,37.515845,126.914201,,,지진옥외대피소
영원초등학교 운동장,37.51033,126.902358,,,지진옥외대피소
영일어린이공원,37.510109,126.903878,,,지진옥외대피소
영등포근린공원,37.51531,126.910713,,,지진옥외대피소
중마루근린공원,37.519806,126.911329,,,지진옥외대피소
시흥초등학교 운동장,37.454769,126.904714,,,지진옥외대피소
문일고등학교 운동장,37.449377,126.898429,,,지진옥외대피소
정훈어린이 공원,37.465631,126.906314,,,지진옥외대피소
무지개어린이공원,37.462963,126.901037,,,지진옥외대피소
정심초등학교 운동장,37.471274,126.908559,,,지진옥외대피소
쌈지어린이공원,37.470856,126.903985,,,지진옥외대피소
한사랑어린이공원,37.467709,126.904524,,,지진옥외대피소
난곡중학교운동장,37.477592,126.911049,,,지진옥외대피소
문성중학교운동장,37.475709,126.908183,,,지진옥외대피소
영남초등학교운동장,37.475819,126.909342,,,지진옥외대피소
문성초등학교운동장,37.474307,126.899219,,,지진옥외대피소
소망어린이공원,37.46948,126.901506,,,지진옥외대피소
서울금산초등학교,37.441878,126.908166,,,지진옥외대피소
금천고등학교,37.444908,126.905853,,,지진옥외대피소
금천초등학교운동장,37.454527,126.91249,,,지진옥외대피소
느티나무상상어린이공원,37.456179,126.90671,,,지진옥외대피소
은행어린이공원,37.452076,126.906965,,,지진옥외대피소
중곡초등학교운동장,37.574329,127.083592,,,지진옥외대피소
면남초등학교운동장,37.577507,127.087957,,,지진옥외대피소
방아다리어린이공원,37.585084,127.034882,,,지진옥외대피소
정화여자상업고등학교 운동장,37.585572,127.040771,,,지진옥외대피소
종암초등학교 운동장,37.581787,127.031421,,,지진옥외대피소
홍파초등학교 운동장,37.586111,127.038909,,,지진옥외대피소
전일중학교 운동장,37.581285,127.058584,,,지진옥외대피소
전농초등학교 운동장,37.574218,127.054528,,,지진옥외대피소
동대문중학교 운동장,37.574212,127.052544,,,지진옥외대피소
아름드리어린이공원,37.579083,127.059696,,,지진옥외대피소
전곡초등학교 운동장,37.580268,127.056883,,,지진옥외대피소
전동초등학교 운동장,37.578995,127.061512,,,지진옥외대피소
능산공원,37.611771,127.097348,,,지진옥외대피소
봉화초등학교운동장,37.613354,127.091945,,,지진옥외대피소
신내초등학교운동장,37.604141,127.100025,,,지진옥외대피소
성북초등학교 운동장,37.593559,126.998239,,,지진옥외대피소
동구여자중학교 운동장,37.593923,127.007622,,,지진옥외대피소
동구마케팅고등학교 운동장,37.593237,127.00654,,,지진옥외대피소
