명칭,지번주소,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),위도X좌표(WGS84),경도Y좌표(WGS84),역사_ID,호선,총 면적,구분,주소(혼재)
남산도시자연공원,,,198364.107,450395.554,126.9903773,37.5501402,,,,,서울특별시 중구 삼일대로 231(예장동)
길동생태공원,,,213554.12,448852.675,127.1547791,37.5403935,,,,,서울특별시 강동구 천호대로 1291(길동생태공원) 
서울대공원,,,200994.267,437163.981,127.0198465,37.4264494,,,,,경기도 과천시 대공원광장로 102
서울숲,,,203695.432,449290.726,127.0417982,37.5430717,,,,,서울특별시 성동구 뚝섬로 273 (성수동1가) 
월드컵공원,,,190658.07,451598.831,126.878907,37.571805,,,,,서울특별시 마포구 하늘공원로 84(월드컵공원)
광화문시민열린마당,,,198054.179,452832.049,126.9780227,37.5750449,,,,,서울특별시 종로구 세종로 76-2
진관근린공원(구파발폭포),,,192864.424,459694.746,126.9192155,37.6370244,,,,,서울특별시 은평구 진관동 393
중마루근린공원,,,192162.09,446711.963,126.9112668,37.519832,,,,,서울특별시 영등포구 영등포동2가 222
응봉공원,,,201884.862,450829.348,127.0217653,37.5572281,,,,,서울특별시 성동구 금호동1가 산1-72
매화근린공원,,,187712.085,450892.604,126.86115,37.5575833,,,,,서울특별시 강서구 등촌동 630-14
성수근린공원,,,204637.837,449470.206,127.0524023,37.5448144,,,,,서울특별시 성동구 성수2가 3동 302-25
샛마을근린공원,,,212935.156,450185.001,127.1471618,37.5504807,,,,,서울특별시 강동구 명일1동 288
여의도근린공원,,,193224.42,447495.851,126.922377,37.526129,,,,,서울특별시 영등포구 여의공원로 68 (여의도동)
간데메근린공원,,,204339.82,452584.376,127.0488644,37.5732438,,,,,서울특별시 동대문구 서울시립대로2길 59(간데메공원)
훈련원근린공원,,,200301.274,451995.862,127.0038188,37.5675245,,,,,서울특별시 중구 을지로 227
영등포근린공원,,,192126.06,446207.767,126.910662,37.515423,,,,,서울특별시 영등포구 신길로 275
보라매근린공원,,,192880.784,443935.417,126.918289,37.492333,,,,,서울특별시 동작구 여의대방로20길 33(보라매공원)
