"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로상세주소)","k-전화번호","k-팩스번호","단지소개기존clob","단지첨부파일","k-세대타입(분양형태)","k-관리방식","k-복도유형","k-난방방식","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가여부","관리비 업로드","좌표X","좌표Y","단지신청일"
"1","A15679103","우리유앤미","아파트","서울특별시 동작구 서달로 83","서울","동작구","흑석동","우리유앤미아파트","서달로","83","028127541","028127542","","","분양","위탁관리","혼합식","개별난방","2","206","우리건설","경수재건축조합","2003-12-26 00:00:00.0","27097","15827","20098","89","93","24","","","","2022-04-05 15:07:53.0","90800610361","위탁","단일계약","위탁","1773.56","223","의무","2018-04-10 15:59:42.0","Y","N","126.9596386","37.5006676","2013-03-07 09:46:59.0"
"2","A13876112","송파파인타운13단지","아파트","서울특별시 송파구 송파대로8길 10","서울","송파구","장지동","857","송파대로8길","10","024002658","024002668","","","분양","위탁관리","계단식","개별난방","4","197","양우건설(주)","SH공사","2011-01-27 00:00:00.0","30646","16720","22520","0","197","0","","","","2022-04-05 18:21:30.0","911-00-18063-1","위탁","단일계약","위탁","0.00","225","의무","2013-06-17 19:03:30.0","Y","N","127.1291789","37.4768967","2013-03-07 09:46:59.0"
"3","A13873701","오금현대백조(임대)","아파트","서울특별시 송파구 양재대로72길 20","서울","송파구","오금동","20-2","양재대로72길","20","024000298","024000497","214","","임대","위탁관리","복도식","개별난방","1","153","현대건설","현대건설","1997-01-24 00:00:00.0","7318","4743","4743","153","0","0","","","","2022-04-05 18:32:18.0","2158007586","위탁","단일계약","위탁","6892.79","60","임대","2013-11-21 16:43:07.0","Y","N","127.1287745","37.5089058","2013-03-07 09:46:59.0"
"4","A15275101","개봉건영","아파트","서울특별시 구로구 고척로21나길 85-6","서울","구로구","개봉동","47-1","고척로21나길","85-6","0220878606","0226878616","","","분양","위탁관리","계단식","개별난방","2","209","건영종합건설","철도조합","1994-05-09 00:00:00.0","24523","16894","24410","0","209","0","","","","2022-04-05 13:32:47.0","11382604260","위탁","단일계약","위탁","0.00","0","의무","2013-06-23 11:30:23.0","Y","N","126.8406749","37.5011622","2013-03-07 09:46:59.0"
"6","A13991016","월계동원베네스트","아파트","서울특별시 노원구 월계로53길 21","서울","노원구","월계동","서울시 노원구 월계2동 940번지","월계로53길","21","029029567","029909567","","","분양","위탁관리","계단식","개별난방","5","205","(주)동원건설","월계동원베네스트아파트조합","2005-03-31 00:00:00.0","24680","14796","18578","103","102","0","","","","2022-04-05 08:26:53.0","91303045251","위탁","종합계약","위탁","0.00","206","의무","2015-06-19 09:59:49.0","Y","N","127.0582196","37.631732","2013-03-07 09:46:59.0"
"7","A13789201","양재우성KBS(113동)","아파트","서울특별시 서초구 바우뫼로 91","서울","서초구","양재동","160-2","바우뫼로","91","025798994","025748994","","","분양","위탁관리","계단식","개별난방","1","150","우성건설","우성건설","1996-12-31 00:00:00.0","16533","12704","16533","0","150","0","","","","2022-04-05 16:04:21.0","2148260850","위탁","","위탁","0.00","137","의무","2013-06-21 11:22:18.0","Y","N","127.0290739","37.4775008","2013-03-07 09:46:59.0"
"8","A13486701","천호삼익","아파트","서울특별시 강동구 상암로12길 13","서울","강동구","천호동","288-5","상암로12길","13","0262859993","0262859993","","","분양","위탁관리","혼합식","개별난방","1","150","삼익건설(주)","삼익건설(주)","1997-12-03 00:00:00.0","15925","11793","15925","67","58","25","","없음","","2022-04-05 19:07:39.0","21280015640","직영","단일계약","직영","0.00","152","의무","2019-03-26 17:32:53.0","Y","N","127.1284727","37.5485886","2013-03-07 09:47:00.0"
"9","A14319001","자양경남아너스빌","아파트","서울특별시 광진구 자양로3길 55","서울","광진구","자양동","경남아너스빌","자양로3길","55","0234374442","0234374442","130","","분양","위탁관리","혼합식","개별난방","1","150","대아건설","진주타운재건축조합","1997-05-24 00:00:00.0","18340","10974","15270","70","80","0","","","","2022-04-05 05:48:51.0","90700036891","위탁","종합계약","위탁","1338.68","132","의무","2016-03-14 14:37:54.0","Y","N","127.083991","37.5294321","2013-03-07 09:47:01.0"
"10","A12208101","신사성원","아파트","","서울","은평구","신사동","360","","","023569537","023569539","","","분양","위탁관리","혼합식","개별난방","1","150","성원건설","성원건설","2000-04-11 00:00:00.0","20062","10592","15382","86","64","0","","","","2022-04-05 10:03:52.0","110-80-00522-0","위탁","단일계약","위탁","0.00","164","의무","2013-06-23 15:15:59.0","Y","N","126.9133122","37.6004574","2013-03-07 09:47:01.0"
"11","A15809001","신월대방샤인힐","아파트","서울특별시 양천구 신월로9길 37","서울","양천구","신월동","서울 양천구 신월4동 1017","신월로9길","37","0226900262","0226900263","","","분양","위탁관리","계단식","개별난방","3","150","대방건설","원광연립재건축조합","2003-09-24 00:00:00.0","17033","10679","12918","60","90","0","","","","2022-04-05 12:04:14.0","90700034491","위탁","단일계약","위탁","0.00","149","의무","2013-05-24 10:50:13.0","Y","N","126.8384999","37.5204711","2013-03-07 09:47:01.0"
"12","A13820001","문정3차푸르지오","아파트","서울특별시 송파구 송이로 257","서울","송파구","문정동","문정3차대우아파트","송이로","257","024044117","024043379","","","분양","위탁관리","계단식","개별난방","2","150","(주)대우건설","(주)대우","2002-08-13 00:00:00.0","16059","12744","15864","0","150","0","","없음","","2022-04-05 18:16:48.0","90700240051","위탁","단일계약","위탁","0.00","193","의무","2018-07-05 10:55:13.0","Y","N","127.1332779","37.4871243","2013-03-07 09:47:01.0"
