명칭,latitude,longitude,Station_line,구분,Area(m^2)
남산도시자연공원,37.5501402,126.9903773,,공원,2896887
길동생태공원,37.5403935,127.1547791,,공원,80683
서울대공원,37.4264494,127.0198465,,공원,9132690
서울숲,37.5430717,127.0417982,,공원,480994
월드컵공원,37.571805,126.878907,,공원,2284085
광화문시민열린마당,37.5750449,126.9780227,,공원,8948.1
진관근린공원(구파발폭포),37.6370244,126.9192155,,공원,1
중마루근린공원,37.519832,126.9112668,,공원,6456
응봉공원,37.5572281,127.0217653,,공원,80309
매화근린공원,37.5575833,126.86115,,공원,1980.4
성수근린공원,37.5448144,127.0524023,,공원,5197.7
샛마을근린공원,37.5504807,127.1471618,,공원,11467
여의도근린공원,37.526129,126.922377,,공원,229539
간데메근린공원,37.5732438,127.0488644,,공원,15179.7
훈련원근린공원,37.5675245,127.0038188,,공원,16734.6
영등포근린공원,37.515423,126.910662,,공원,61544
보라매근린공원,37.492333,126.918289,,공원,424106
어린이대공원,37.5498987,127.0809212,,공원,560552
천호근린공원,37.5444741,127.1263451,,공원,26696.8
용산가족공원,37.522226,126.983335,,공원,75900
독립근린공원,37.5738289,126.956771,,공원,113021.7
낙산근린공원,37.580477,127.007587,,공원,201779
양재시민의숲,37.471225,127.035042,,공원,258991
관악산도시자연공원,37.445208,126.96413,,공원,10420819.08
효창근린공원,37.545234,126.95993,,공원,171294.1
감로천생태공원(관악산),37.469625,126.9079509,,공원,15000
개운산근린공원,37.5965837,127.0252858,,공원,297926
개웅산근린공원,37.4888943,126.8485734,,공원,411972
경희궁,37.570773,126.9685341,,공원,98470
국립현충원,37.4998621,126.9736849,,공원,2038741.3
계남근린공원,37.5138358,126.8479643,,공원,603715.2
고척근린공원,37.5042944,126.8521495,,공원,108120
파리근린공원,37.5349739,126.8763932,,공원,29619.3
허준공원,37.5679874,126.8526745,,공원,29843.8
궁동근린공원,37.5690506,126.9229851,,공원,126026
궁산근린공원,37.5735645,126.838952,,공원,135002.7
까치산근린공원,37.4845836,126.9640735,,공원,384026
꿩고개근린공원,37.5801585,126.8157075,,공원,180000
노량진공원,37.510234,126.928607,,공원,416031
답십리근린공원,37.5750896,127.0626512,,공원,160720
대모산도시자연공원,37.4796489,127.0809639,,공원,2277252
탑골근린공원,37.5710052,126.9882853,,공원,19599.7
갈산근린공원,37.5082119,126.8689146,,공원,138596
천마근린공원,37.5005173,127.1586644,,공원,185295
도곡근린공원,37.4903127,127.0450338,,공원,254648
도산근린공원,37.5246752,127.0350296,,공원,29816.5
청량공원,37.6020055,127.0511145,,공원,762642
초안산근린공원,37.648316,127.0455446,,공원,664905
동명근린공원,37.5598341,127.1676703,,공원,99599.9
마로니에공원,37.5802295,127.0027886,,공원,5802
자매근린공원,37.5177329,126.9302895,,공원,16500
장지근린공원,37.4957083,127.1387,,공원,585652
명일근린공원,37.5537143,127.1613641,,공원,649709.6
방화근린공원,37.5819812,126.8132285,,공원,72132
아시아근린공원,37.5102779,127.0762885,,공원,66027.8
배봉산근린공원,37.5812324,127.0641623,,공원,265582
안산도시자연공원,37.5798246,126.9390273,,공원,2088704.9
염창근린공원,37.5579702,126.8689817,,공원,112070
백련근린공원,37.5879662,126.928616,,공원,993724
오금근린공원,37.5038715,127.1323957,,공원,219167
