명칭,지번주소,도로명주소,GRS80TM_X,GRS80TM_Y,latitude,longitude,Station_ID,Station_line,Area,구분(보류),주소(혼재)
남산도시자연공원,,,198364.107,450395.554,37.5501402,126.9903773,,,2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡,공원,서울특별시 중구 삼일대로 231(예장동)
길동생태공원,,,213554.12,448852.675,37.5403935,127.1547791,,,80683㎡,공원,서울특별시 강동구 천호대로 1291(길동생태공원) 
서울대공원,,,200994.267,437163.981,37.4264494,127.0198465,,,9132690m²,공원,경기도 과천시 대공원광장로 102
서울숲,,,203695.432,449290.726,37.5430717,127.0417982,,,480994㎡,공원,서울특별시 성동구 뚝섬로 273 (성수동1가) 
월드컵공원,,,190658.07,451598.831,37.571805,126.878907,,,2284085㎡,공원,서울특별시 마포구 하늘공원로 84(월드컵공원)
광화문시민열린마당,,,198054.179,452832.049,37.5750449,126.9780227,,,8948.1㎡,공원,서울특별시 종로구 세종로 76-2
진관근린공원(구파발폭포),,,192864.424,459694.746,37.6370244,126.9192155,,,휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ,공원,서울특별시 은평구 진관동 393
중마루근린공원,,,192162.09,446711.963,37.519832,126.9112668,,,6456㎥,공원,서울특별시 영등포구 영등포동2가 222
응봉공원,,,201884.862,450829.348,37.5572281,127.0217653,,,80309㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ,공원,서울특별시 성동구 금호동1가 산1-72
매화근린공원,,,187712.085,450892.604,37.5575833,126.86115,,,1980.4㎡   ,공원,서울특별시 강서구 등촌동 630-14
성수근린공원,,,204637.837,449470.206,37.5448144,127.0524023,,,5197.7㎡ ,공원,서울특별시 성동구 성수2가 3동 302-25
샛마을근린공원,,,212935.156,450185.001,37.5504807,127.1471618,,,11467㎡ ,공원,서울특별시 강동구 명일1동 288
여의도근린공원,,,193224.42,447495.851,37.526129,126.922377,,,229539㎡,공원,서울특별시 영등포구 여의공원로 68 (여의도동)
간데메근린공원,,,204339.82,452584.376,37.5732438,127.0488644,,,15179.7 ㎡ ,공원,서울특별시 동대문구 서울시립대로2길 59(간데메공원)
훈련원근린공원,,,200301.274,451995.862,37.5675245,127.0038188,,,16734.60㎥ ,공원,서울특별시 중구 을지로 227
영등포근린공원,,,192126.06,446207.767,37.515423,126.910662,,,61544㎡ 녹지대 : 40792㎡ 광 장 : 6600㎡ 기 타 : 14152㎡,공원,서울특별시 영등포구 신길로 275
보라매근린공원,,,192880.784,443935.417,37.492333,126.918289,,,424106㎡ ,공원,서울특별시 동작구 여의대방로20길 33(보라매공원)
어린이대공원,,,207108.865,449977.62,37.5498987,127.0809212,,,560552㎡,공원,서울특별시 광진구 능동로 216(어린이대공원)
천호근린공원,,,211094.883,449373.595,37.5444741,127.1263451,,,26696.8㎥ ,공원,서울특별시 강동구 올림픽로 702(천호공원)
용산가족공원,,,198680.6,446756.9,37.522226,126.983335,,,75900㎡,공원,서울특별시 용산구 서빙고로 185
독립근린공원,,,196318.22,452589.144,37.5738289,126.956771,,,113021.7m2,공원,서울특별시 서대문구 통일로251(독립공원)
낙산근린공원,,,200631.301,453432.556,37.580477,127.007587,,,201779㎥ ,공원,서울특별시 종로구 낙산길 41 (우) 03085
양재시민의숲,,,203226.694,441171.435,37.471225,127.035042,,,258991㎡   ,공원,서울특별시 서초구 매헌로 99 (양재동)
관악산도시자연공원,,,196801.464,438408.982,37.445208,126.96413,,,10420819.08㎡,공원,서울특별시 관악구 관악로 1(관악산공원)
효창근린공원,,,196484.925,449520.541,37.545234,126.95993,,,171294.1㎥,공원,서울특별시 용산구 효창원로 177-18
감로천생태공원(관악산),,,191868.836,440976.325,37.469625,126.9079509,,,총 15000㎡,공원,서울특별시 금천구 독산4동 371?375 373일대
개운산근린공원,,,202301.921,455244.032,37.5965837,127.0252858,,,297926㎡,공원,서울특별시 성북구 북악산로 949-73(돈암동 6-1)
개웅산근린공원,,,186361.511,443134.517,37.4888943,126.8485734,,,411972㎡,공원,서울특별시 구로구 오류동 산13-1
경희궁,,,197240.742,452357.669,37.570773,126.9685341,,,98470㎡,공원,서울특별시 종로구 새문안로 55(신문로2가 2-1)
국립현충원,,,197554.306,444488.109,37.4998621,126.9736849,,,2038741.3㎡,공원,서울특별시 동작구 사당2동 산41-2
계남근린공원,,,186587.03,445953.762,37.5138358,126.8479643,,,603715.2㎡,공원,서울특별시 양천구 신정동 산44-2일대
고척근린공원,,,186938.035,445175.775,37.5042944,126.8521495,,,108120㎡,공원,서울특별시 구로구 고척로45길 39(고척공원)
파리근린공원,,,189117.778,448369.561,37.5349739,126.8763932,,,29619.3㎥,공원,서울특별시 양천구 목동동로 363 
허준공원,,,187079.658,452015.939,37.5679874,126.8526745,,,29843.8㎡ ,공원,서울특별시 강서구 허준로5길 42
