,명칭,latitude,longitude
0,인사아트센터,37.5738194,126.9845894
1,일랑미술관,37.6085073,126.9701317
2,일오삼갤러리,0.0,0.0
3,자하미술관,37.5893192,126.9602893
4,장은선갤러리,37.5766354,126.9896557
5,정표구화랑,0.0,0.0
6,조갤러리,0.0,0.0
7,조선화랑,37.5125003,127.0574856
8,진선갤러리,37.5813606,126.9804599
9,진화랑,37.578315,126.9736922
10,청작화랑,37.5243382,127.0234968
11,청화랑,37.5226989,127.0476372
12,초대화랑,0.0,0.0
13,카사,0.0,0.0
14,카이스갤러리,37.5245845,127.0453622
15,케이앤갤러리,0.0,0.0
16,쿤스트독미술관,35.1303609,128.9693424
17,태양석고조각,0.0,0.0
18,토닌갤러리,0.0,0.0
19,토탈미술관,37.6122227,126.9756747
20,퍼블릭아트,37.56202529999999,126.9929335
21,표갤러리,37.5778674,126.9708043
22,현대화랑,37.577203,126.9799131
23,환기미술관,37.594411,126.9663073
24,미디어플랜,0.0,0.0
25,MBC아카데미,37.509099,127.080294
26,NH아트홀,0.0,0.0
27,강남스포츠문화센터,37.4889672,127.1052745
28,계몽문화교실,0.0,0.0
29,금천구민문화체육센터,37.4700176,126.907368
30,길동생태문화센터,37.5410211,127.1562098
31,꿈의숲아트센터,37.6214312,127.0406246
32,대극장,0.0,0.0
33,영등포아트홀,37.526038,126.900089
34,영산문화재단,0.0,0.0
35,이랑시어터,37.5796448,127.0042722
36,정보소극장,37.5824222,127.0036888
37,중앙극장,37.5525561,126.9996092
38,홍대롤링홀,37.5484224,126.9201248
39,KBS스카이,0.0,0.0
40,에스비에스,0.0,0.0
41,SBS스포츠채널골프드라마플러스,0.0,0.0
42,TBN교통방송,0.0,0.0
43,관악방송,37.4828558,126.9427087
44,서초케이블,37.4630271,127.0543645
45,시엠비동서방송,0.0,0.0
46,큐릭스노원방송,37.6541917,127.056793
47,TBS교통방송청사,0.0,0.0
48,극동방송,0.0,0.0
49,극동방송,0.0,0.0
50,서울원음방송,37.5269334,126.8713879
51,클럽앤서,37.5249534,127.0522735
52,YMCA꿈나무소극장,0.0,0.0
53,글로브극장,51.5080647,-0.09719250000000001
54,동숭무대,37.5864494,127.0004945
55,삼형제극장,37.57845,127.004661
56,샘터파랑새극장,37.5814942,127.0023216
57,선돌극장,37.5868383,126.9997168
58,아트씨어터문,37.5830504,126.99701
59,오아시스극장,37.5802558,127.0034944
60,포스트극장,37.5541381,126.9295897
61,학전그린소극장,37.5838109,127.0030777
62,해치홀,0.0,0.0
63,강북문화예술회관,37.6407764,127.0131584
64,올림픽회관,0.0,0.0
65,용산아트홀,37.5327364,126.9904685
66,경찰박물관,37.5721044,126.9616652
67,국립고궁박물관,37.5766084,126.974951
68,국립중앙박물관,37.5238506,126.9804702
69,대한민국역사박물관,37.5739308,126.977992
70,도검박물관,35.6989606,139.7936629
71,매헌윤봉길의사기념관,37.4695908,127.0365105
72,명인박물관,37.5801444,126.9851629
73,몽촌역사관,37.523868,127.1243
74,민속박물관,37.5816456,126.9789948
75,박을복자수박물관,37.6537404,127.0087107
76,부엉이박물관,37.587032,126.982913
77,북촌생활사박물관,37.5844494,126.9829963
78,삼성출판박물관,37.6086737,126.9570825
79,상명대학교박물관,37.6106713,126.9760478
80,생명과학박물관,37.5238926,126.87197
81,서대문자연사박물관,37.5767,126.937834
82,서대문형무소역사관,37.574271,126.956071
83,서울세관관세박물관,37.5183709,127.034412
84,세계장신구박물관,37.5809498,126.9818021
85,셀라뮤즈자기박물관,37.4878781,127.0287467
86,수도박물관,37.5397059,127.0420438
87,쉼박물관,37.5994636,126.9556636
88,실크로드박물관,0.0,0.0
89,어린이민속박물관,37.5794588,126.9787219
90,영인문학관,37.6119175,126.9716568
91,외교사전시실,0.0,0.0
92,전쟁기념관,37.5366059,126.9771397
93,절두산성지순교기념관,37.5444056,126.9116248
94,대치복지문화회관,0.0,0.0
95,대한민국예술인센터,37.5270381,126.870737
96,동부여성문화센터,37.5770035,127.0097015
97,동북아시아정보문화센터,38.7945952,106.5348379
98,마포아트센터,37.5497496,126.9455805
99,마포평생학습관아현분관,37.5538415,126.9572219
100,명동성당꼬스트홀,37.5630901,126.9867758
101,목동문화체육센터,37.5427302,126.8691753
102,문화센터,0.0,0.0
103,문화유산교육원,0.0,0.0
104,미추홀예술진흥회,0.0,0.0
105,봉은문화센터,0.0,0.0
106,북촌문화센터,37.5790313,126.9864082
107,상상아트홀,37.5065454,127.0653445
108,석천문화관,37.5855051,126.9993836
109,성동문화회관,37.5633415,127.0371025
110,성북예술창작센터,37.5921716,127.0371019
111,송중문화정보센터,37.6182711,127.0299121
112,수국사문화센타,37.615944,126.905059
113,양천문화회관,37.5166773,126.8633031
114,용산여성문화회관,37.538983,127.0020513
115,잠원복지문화센터,0.0,0.0
116,푸르지오밸리,37.5044762,127.0646368
117,풀잎문화센터,0.0,0.0
118,풀잎문화센터,0.0,0.0
119,한국문화센터구로지부,37.48287699999999,126.9008961
120,해공체육문화센터,37.5420683,127.1298443
121,호림아트센터,37.5225343,127.0360176
122,KT&G상상마당,37.550912,126.921127
123,까페테리아나루,37.54439720000001,126.8994778
124,노원문화예술회관,37.6501995,127.0802507
125,돔아트홀,0.0,0.0
126,동숭아트센터,37.583653,127.0036978
127,둘로스소극장,0.0,0.0
128,명보아트홀,37.5646936,126.9931903
129,반딧불이생태관,0.0,0.0
130,백암아트홀,37.5103488,127.0659625
131,벨라지움,37.3207567,126.8320184
132,북촌창우극장,37.5788668,126.9888292
133,산울림소극장,37.5550951,126.9299385
134,삼일로창고극장,37.5634334,126.9879711
135,상설무대우리소리,37.5567112,126.9182197
136,서울패션창작스튜디오,37.5672576,127.0121051
137,시공아트스페이스,0.0,0.0
138,아트센터K,37.5824204,127.0040143
139,알과핵소극장,37.579867,127.00355
140,암사어린이극장,37.5634269,127.1333434
141,열린극장,37.5836706,127.0003428
142,그림사랑,37.55257599999999,126.8628518
143,금호미술관,37.5774224,126.9798857
144,김달진미술자료박물관,37.6000164,126.9566332
145,김종영미술관,37.613029,126.977523
146,김콜렉션,0.0,0.0
147,김현주갤러리,37.5834367,126.9809549
148,노화랑,37.5748395,126.9840798
149,다도화랑,37.5217142,127.023117
150,다이아몬드갤러리,0.0,0.0
151,대림미술관,37.5775023,126.9733626
152,대림화랑,0.0,0.0
153,대안공간풀,0.0,0.0
154,덕원갤러리,37.5729231,126.9864963
155,동산방화랑,37.5728952,126.9833299
156,디아갤러리,0.0,0.0
157,로댕갤러리,37.5616462,126.9747939
158,뤼미에르갤러리,37.5718118,126.9704979
159,리안갤러리,35.8579412,128.5988732
160,모던화랑,37.5739448,126.9853428
161,모인화랑,37.5743395,126.985663
162,몽환,0.0,0.0
163,문화서화사,0.0,0.0
164,미림화방,37.5326037,126.9715237
165,백자은갤러리,0.0,0.0
166,백해영갤러리,37.536462,126.994864
167,변종하미술관,0.0,0.0
168,북촌미술관,37.5803018,126.9847388
169,빛갤러리,37.5800697,126.9803914
170,삼성미술관리움,37.5383951,126.999265
171,서울시립미술관경희궁분관,37.5712378,126.9681688
172,서울옥션센터,37.6114182,126.9756352
173,서하갤러리,0.0,0.0
174,서화갤러리,37.53740010000001,127.0131336
175,선갤러리,0.0,0.0
176,섭갤러리,0.0,0.0
177,세미화랑,0.0,0.0
178,소나무갤러리,0.0,0.0
179,소마미술관,37.517088,127.1182369
180,수도예공방,0.0,0.0
181,스페이스갤러리,0.0,0.0
182,시립미술관난지창작스튜디오,37.5690289,126.8785234
183,시율재갤러리,0.0,0.0
184,씽크씽크미술관,0.0,0.0
185,아리수아트타운,0.0,0.0
186,아트사이드,37.5782277,126.9729419
187,아트스퀘어,0.0,0.0
188,아트에셋,0.0,0.0
189,아트파크,37.5837209,126.9804107
190,아프리카미술관,37.5780057,126.9799135
191,어반아트,0.0,0.0
192,에이엠,0.0,0.0
193,증권박물관,37.638475,126.785998
194,짚풀생활사박물관,37.5848662,126.9999529
195,청계천문화관,37.5713196,127.0350342
196,체신기념관,37.5744228,126.9825522
197,토이키노장난감박물관,37.5738194,126.9845894
198,티벳박물관,34.9590928,127.1320622
199,평강제일교회성서유물박물관,37.4921639,126.8446033
200,한국가구박물관,37.6000101,126.9934438
201,한국영화박물관,37.5804334,126.8894764
202,한국은행화폐금융박물관,37.5620577,126.9805633
203,한성백제박물관,37.5155254,127.1206771
204,허준박물관,37.567845,126.850956
205,호림박물관,37.5226523,127.0362151
206,화정박물관,37.6045564,126.9659639
207,LUX갤러리,0.0,0.0
208,PKM갤러리,37.5790334,126.9826632
209,SJ갤러리,0.0,0.0
210,UUL국립서울미술관,37.566535,126.9779692
211,가나아트스페이스,37.6121861,126.9750972
212,가진화랑,37.5824857,126.9708696
213,간송미술관,37.594514,126.9966257
214,강북시립미술관,37.6396099,127.0256575
215,갤러리고도,37.5757217,126.9855621
216,갤러리나요,0.0,0.0
217,갤러리도스,37.5837905,126.9796986
218,갤러리세줄,37.61336740000001,126.9751512
219,갤러리수,37.583586,126.981424
220,갤러리수,37.583586,126.981424
221,갤러리시몬,37.5780889,126.9732197
222,갤러리에뽀끄,0.0,0.0
223,갤러리원,37.52747830000001,127.0458873
224,갤러리유로,37.5205969,127.0275216
225,갤러리피치,37.5263367,127.0501422
226,갤러리피프틴,0.0,0.0
227,갤러리현대,37.577203,126.9799131
228,갤러리현대,37.577203,126.9799131
229,겸재정선기념관,0.0,0.0
230,경인미술관,37.5744158,126.9854165
231,국제갤러리,37.5806294,126.9806125
232,영재교육미술관,0.0,0.0
233,예원화랑,37.500294,127.059741
234,예인갤러리,37.5720602,126.9853831
235,예화랑,37.5228554,127.0221543
236,유아트스페이스,37.5273401,127.0458472
237,이목화랑,37.5851716,126.9854127
238,이즈갤러리,37.5747839,126.9841076
239,인사미술공간,37.5815054,126.9891902
