도로명주소,지번주소,위도,경도
서울특별시 종로구 돈화문로9길 26,,,
서울특별시 종로구 지봉로 29,,,
None,,,
서울특별시 종로구 종로 78,,,
None,,,", "
서울특별시 종로구 대학로 101,,,
None,,,
서울특별시 동작구 장승배기로 108,,,
서울특별시 강남구 도곡로 216 치휴한방병원,,,
서울특별시 종로구 새문안로 9 적십자병원,,,
서울특별시 중구 퇴계로 97 3층 306호,,,
서울특별시 강서구 마곡중앙4로 22 파인스퀘어 34층,,,
서울특별시 서대문구 통일로 544,,,
서울특별시 서초구 강남대로 309 코리아비지니스센타 2층,,,
서울특별시 노원구 동일로 996,,,
서울특별시 강남구 도산대로6길 14 아이올리빌딩 1층~4층층,,,
서울특별시 종로구 통일로 256,,,
None,,,
서울특별시 중구 남대문로 120,,,
서울특별시 중구 다산로36길 11,,,
서울특별시 중구 통일로 92 케이지타워 128층,,,
서울특별시 중구 동호로 202,,,
서울특별시 중구 장충단로 263 14층,,,
서울특별시 중구 다산로 175 3층,,,
서울특별시 중구 명동길 43 7층,,,
서울특별시 중구 퇴계로 447 211~213호,,,
서울특별시 강남구 학동로 233 디와이빌딩 3층 일부4~6층,,,
서울특별시 성동구 무학로2길 8,,,
서울특별시 서대문구 수색로 102 2~4층,,,
서울특별시 중구 세종대로21길 52 1층,,,
서울특별시 중구 다산로 258 23층,,,
서울특별시 마포구 신촌로 240,,,
서울특별시 강동구 천호대로 1159,,,
서울특별시 강동구 천호대로 1151,,,
None,,,
None,,,
None,,,
서울특별시 중구 다산로 78,,,
서울특별시 용산구 한강대로40가길 24,,,
서울특별시 용산구 청파로 383,,,
서울특별시 용산구 장문로 27,,,
서울특별시 성동구 광나루로 243,,,
서울특별시 성동구 자동차시장1길 85,,,
서울특별시 성동구 천호대로 320 3층,,,
서울특별시 성동구 자동차시장1길 85,,,
서울특별시 마포구 독막로 32 지112457층,,,
서울특별시 은평구 연서로 10 지하2~지상9층,,,
서울특별시 양천구 신정중앙로 103,,,
서울특별시 강동구 올림픽로 546 G.M.F.빌딩,,,
서울특별시 송파구 송이로 123 국립경찰병원,,,
서울특별시 노원구 화랑로 323,,,
서울특별시 성동구 자동차시장1길 85 지하1 지상3~5층,,,
서울특별시 성동구 왕십리로 269,,,
서울특별시 성동구 금호산길 41,,,
None,,,
None,,,
서울특별시 성동구 왕십리로 269,,,
서울특별시 성동구 마장로 207,,,
서울특별시 구로구 남부순환로 1291  A동1234567층 B동 567층,,,
서울특별시 성동구 왕십리로 296,,,
서울특별시 성동구 동일로 133,,,
서울특별시 강동구 양재대로 1580,,,
서울특별시 성동구 천호대로 436 2~7층,,,
서울특별시 서초구 효령로 10,,,
서울특별시 중구 마른내로 9,,,
서울특별시 은평구 응암로 304 지1 1~7층,,,
서울특별시 중구 을지로14길 12,,,
서울특별시 성동구 자동차시장1길 85 지하1지상3~5층,,,
서울특별시 양천구 오목로 351 B2~68~9층,,,
서울특별시 광진구 동일로30길 9,,,
서울특별시 광진구 천호대로 568,,,
서울특별시 광진구 동일로 154,,,
서울특별시 광진구 광나루로 506,,,
서울특별시 광진구 동일로 82-1 생생한방병원 지하1~5층,,,
서울특별시 광진구 동일로 154,,,
서울특별시 동대문구 고산자로 379,,,
None,,,
서울특별시 광진구 천호대로 556,,,
서울특별시 광진구 용마산로 127,,,
서울특별시 강남구 도산대로 202,,,
서울특별시 광진구 동일로 92-1 B1~2 2~7층,,,
서울특별시 광진구 능동로 261,,,
서울특별시 강서구 강서로 182,,,
서울특별시 중랑구 망우로 474,,,
서울특별시 강남구 강남대로 390 미진프라자 21층,,,
서울특별시 강동구 올림픽로80길 31 로뎀빌딩,,,
서울특별시 성동구 왕십리로 222-1,,,
None,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 동대문구 장한로32길 7,,,
None,,,
서울특별시 동대문구 전농로 45,,,
서울특별시 성북구 동소문로 215,,,
None,,,
서울특별시 동대문구 고산자로 421,,,
서울특별시 동대문구 장한로 143,,,
서울특별시 광진구 능동로 103 3.4층,,,
서울특별시 광진구 동일로 82-1,,,
서울특별시 강서구 양천로 92 지하1 지상1~6층 층호,,,
서울특별시 동대문구 한천로 49,,,
서울특별시 서대문구 연희로 272 동신병원 본관동,,,
서울특별시 동대문구 장한로32길 7,,,
서울특별시 동대문구 장한로 200,,,
서울특별시 동대문구 전농로 102 3층,,,
서울특별시 동대문구 천호대로 20,,,
서울특별시 동대문구 정릉천동로 102 지하1층~지상4층,,,
서울특별시 강동구 천호대로 1043,,,
서울특별시 강북구 도봉로 77 지하2층~지하1층 3층~8층층,,,
서울특별시 동대문구 왕산로 18,,,
서울특별시 중랑구 망우로 476,,,
서울특별시 동대문구 천호대로 317 하늘병원,,,
서울특별시 동대문구 무학로 124,,,
서울특별시 중랑구 망우로 316 이지팰리스 5~7층 503-2504505601~605701~705호,,,
서울특별시 성북구 화랑로 271,,,
서울특별시 동대문구 경희대로 23,,,
서울특별시 강남구 언주로 731,,,
서울특별시 동대문구 경희대로 23,,,
서울특별시 강남구 영동대로96길 34 대윤빌딩 1층,,,
서울특별시 노원구 노원로 461 2층,,,
서울특별시 동대문구 천호대로 2,,,
서울특별시 동대문구 한천로 207 지하1지상13~6층,,,
서울특별시 동대문구 약령시로 124,,,
서울특별시 동대문구 답십리로 261,,,
서울특별시 동대문구 무학로 193-1,,,
None,,,
서울특별시 동대문구 답십리로 266 파워스빌딩,,,
서울특별시 동대문구 한천로 4,,,
서울특별시 동대문구 왕산로 137,,,
None,,,
서울특별시 구로구 새말로 15 2~9층,,,
서울특별시 동대문구 망우로 82,,,
서울특별시 중랑구 동일로 649,,,
서울특별시 중랑구 용마산로 622,,,
서울특별시 중랑구 동일로 606,,,
서울특별시 송파구 송이로 81,,,
서울특별시 중랑구 사가정로49길 53,,,
None,,,
서울특별시 중랑구 망우로 166-17,,,
None,,,
None,,,
서울특별시 성북구 종암로 129 청한빌딩 45층,,,
서울특별시 광진구 자양로 85,,,
서울특별시 강남구 선릉로 751 카로시티Ⅲ,,,
서울특별시 중랑구 망우로 403 567층,,,
서울특별시 성북구 동소문로 306 동서병원,,,
서울특별시 강서구 공항대로41길 34 플러스존 34층,,,
