,0.5km지하철,1.0km지하철,1.5km지하철
0,0,0,0
1,1,4,5
2,3,4,5
3,1,3,5
4,0,1,2
5,1,1,3
6,0,4,5
7,2,5,6
8,0,2,2
9,2,5,6
10,0,3,3
11,1,1,3
12,0,2,3
13,0,1,1
14,0,1,1
15,1,1,2
16,0,1,1
17,0,4,5
18,2,5,6
19,0,1,4
20,2,4,5
21,0,0,0
22,1,2,4
23,0,0,0
24,1,1,3
25,3,4,5
26,1,2,7
27,1,2,4
28,3,5,6
29,2,4,6
30,1,1,1
31,1,5,5
32,1,5,5
33,1,5,5
34,1,5,5
35,1,5,5
36,1,5,5
37,1,5,5
38,1,5,5
39,1,5,5
40,1,5,5
41,1,5,5
42,1,5,5
43,1,5,5
44,1,5,5
45,1,5,5
46,1,5,5
47,1,5,5
48,1,5,5
49,1,4,5
50,0,1,2
51,0,0,0
52,2,5,6
53,1,1,4
54,3,4,5
55,0,2,4
56,1,1,3
57,0,4,5
58,0,2,2
59,0,1,3
60,0,2,6
61,1,4,8
62,3,3,5
63,1,7,8
64,0,4,5
65,0,4,6
66,2,4,6
67,3,5,6
68,2,5,6
69,0,0,1
70,1,2,2
71,1,1,2
72,0,1,2
73,1,1,1
74,0,1,2
75,0,0,0
76,1,2,2
77,0,2,4
78,1,2,3
79,1,1,3
80,3,5,6
81,3,4,5
82,2,2,2
83,2,5,7
84,1,7,8
85,1,2,3
86,1,2,4
87,1,4,5
88,2,4,6
89,0,1,5
90,1,1,3
91,0,2,2
92,0,1,1
93,0,4,8
94,2,3,5
95,1,3,5
96,0,1,1
97,1,1,2
98,0,2,2
99,0,1,4
100,1,1,2
101,0,1,2
102,1,1,3
103,0,1,2
104,1,1,2
105,2,5,7
106,0,1,2
107,1,1,2
108,0,1,2
109,0,2,4
110,0,0,1
111,1,1,2
112,1,1,2
113,2,5,6
114,0,2,2
115,0,1,2
116,0,2,4
117,1,1,1
118,0,2,3
119,0,0,2
120,0,1,1
121,0,3,3
122,0,1,1
123,0,1,3
124,2,5,6
125,1,4,5
126,1,1,2
127,0,1,1
128,1,2,3
129,3,4,5
130,1,1,2
131,0,2,2
132,1,2,2
133,0,0,0
134,0,1,2
135,0,1,2
136,0,1,1
137,1,2,2
138,0,0,0
139,0,3,4
140,1,2,2
141,2,3,6
142,0,1,1
143,0,7,8
144,1,2,4
145,0,1,1
146,0,1,1
147,2,4,6
148,3,3,5
149,5,5,5
150,0,2,3
151,0,0,0
152,3,4,5
153,0,1,1
154,1,1,2
155,0,1,2
156,0,1,1
157,0,0,0
158,1,2,4
159,1,3,7
160,2,3,4
161,0,2,2
162,0,1,1
163,1,1,2
164,2,4,5
165,0,1,2
166,0,1,1
167,1,2,3
168,0,3,6
169,0,0,0
170,0,0,0
171,0,0,1
172,0,0,0
173,0,0,1
174,0,0,1
175,0,1,1
176,0,0,1
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
183,0,0,1
184,0,0,1
185,0,1,1
186,0,2,3
187,0,1,1
188,2,4,5
189,1,1,2
190,0,0,3
191,0,2,3
192,0,2,3
193,0,0,0
194,0,0,0
195,2,5,6
196,0,2,3
197,1,4,5
198,0,0,0
199,0,1,1
200,1,1,1
201,1,4,5
202,0,1,1
203,0,1,2
204,0,1,1
205,0,0,0
206,0,0,1
207,0,0,0
208,0,0,0
209,0,0,0
210,0,1,3
211,1,1,1
212,2,4,5
213,0,0,1
214,0,0,1
215,0,2,3
216,1,2,2
217,0,0,1
218,0,2,3
219,0,1,3
220,0,0,0
221,1,1,2
222,0,0,1
223,0,1,1
